alternating,3,6,Game Condensed,Game Cited,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26
0,3,6,Apartgame,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Simons2014EnergyChildren}\end{tabularx} } &\begin{small}Apartgame\end{small}   \end{tabularx} },5.6,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Astrojumper,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Finkelstein2013EvaluationAutism}\end{tabularx} } &\begin{small}Astrojumper\end{small}   \end{tabularx} },5.07,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Custom PS2 Lower Limb,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Jordan2011OnlyExpenditure}\end{tabularx} } &\begin{small}Custom PS2 Lower Limb\end{small}   \end{tabularx} },7.6,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Cybex Trazer Goalie Wars,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Bailey2011EnergyExergaming}\end{tabularx} } &\begin{small}Cybex Trazer Goalie Wars\end{small}   \end{tabularx} },5.9,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Dance Dance Revolution,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Unnithan2006EvaluationAdolescents,Graf2009PlayingChildren,Bailey2011EnergyExergaming,AdamNoah2011VigorousExerGame,Howcroft2012ActiveTherapies,Bronner2013EnergyPlayers,Simons2014EnergyChildren}\end{tabularx} } &\begin{small}Dance Dance Revolution\end{small}   \end{tabularx} },2.9,3.2,3.2,3.2,3.8,3.9,4.5,4.9,5.4,5.73,8,,,,,,,,,,,,,,,
1,3,6,DanceUK with Mat,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Maddison2007EnergyActivity}\end{tabularx} } &\begin{small}DanceUK with Mat\end{small}   \end{tabularx} },3.9,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Eyetoy Antigrav,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Maddison2007EnergyActivity}\end{tabularx} } &\begin{small}Eyetoy Antigrav\end{small}   \end{tabularx} },2.9,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Eyetoy Beach Volleyball,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Simons2014EnergyChildren}\end{tabularx} } &\begin{small}Eyetoy Beach Volleyball\end{small}   \end{tabularx} },2.9,,,,,,,,,,,,,,,,,,,,,,,,,
0,3,6,Eyetoy Groove,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Maddison2007EnergyActivity}\end{tabularx} } &\begin{small}Eyetoy Groove\end{small}   \end{tabularx} },2.3,,,,,,,,,,,,,,,,,,,,,,,,,
1,3,6,Eyetoy Homerun,{ \setlength{\tabcolsep}{0mm} \begin{tabularx}{4cm}{Xr}   { \begin{tabularx}{\linewidth}{X} \baselineskip=5pt \cite{Maddison2007EnergyActivity}\end{tabularx} } &\begin{small}Eyetoy Homerun\end{small}   \end{tabularx} },4.8,,,,,,,,,,,,,,,,,,,,,,,,,
